,Name,Street,City,Location,status,sic
405,07280246 LTD,"15 STREATLEIGH PARADE, STREATHAM HIGH ROAD",STREATHAM,SW161EQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
1311,10 STAR CLEANING SERVICES LTD,"31 HOWARD ROAD, ",LONDON,NW26DS,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
2920,12 DRY CLEANERS LTD,"180 HOLLAND PARK AVENUE, ",LONDON,W114UJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
3199,121 DRY CLEANERS LTD,"121 EAST FERRY ROAD, ",LONDON,E143LH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
3309,123 CLEANERS LIMITED,"123 SHIRLAND ROAD, ",LONDON,W92EW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
4260,14 DRY CLEANERS LTD,"14 HARBOUR EXCHANGE, ",LONDON,E149GE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
12007,2BUSY 2CLEAN LONDON LIMITED,"204 CALEDONIAN ROAD, ",LONDON,N10SQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
14281,358 DRY CLEANERS LTD,"358 BARKING ROAD, ",LONDON,E138HL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
19220,5 STARS CLEANING SERVICES LIMITED,"C/O ISAAC & COMPANY, SUITE 2 & 3, 289 KENNINGTON LANE",LONDON,SE115QY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
23828,7TH HALO LIMITED,"1 MOORE COURT, STATION GROVE",WEMBLEY,HA04AF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
26068,99 DRY CLEANERS AND LAUNDERERS LIMITED,"99 WESTBOURNE GROVE, ",LONDON,W24UW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
26436,A & E CLEANERS LTD,"1 VERDANT LANE, CATFORD",LONDON,SE61JB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
26903,A & SON LTD,"192 GREEN LANE, ",ILFORD,IG11YQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
27749,A FRESH START LTD,"THE HOWARTH ARMSBY SUITE NEW BROAD STREET HOUSE, 35 NEW BROAD STREET",LONDON,EC2M1NH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
29025,A STAR DRYCLEANING LIMITED,"180 LONDON ROAD, ",ROMFORD,RM79EU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
29317,A V LINEN LIMITED,"MAPLE HOUSE, 382 KENTON ROAD",KENTON,HA39DP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
29894,A&P DECORATING LTD,"7 FAIRBROOK CLOSE, ",LONDON,N136EZ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
30277,A-Z DRY CLEANERS LIMITED,"25 BETHECAR ROAD, ",HARROW,HA11SE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
30737,A.C. FOREMAN LIMITED,"109 MUSWELL HILL ROAD, ",LONDON,N103HS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
31506,A.R. TAILORS & DRY CLEANERS LIMITED,"62 WOOD STREET, LONDON",LONDON,E173HT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
31876,A1 DRY CLEAN SERVICE LIMITED,"SHOP 4, CAVELL STREET",LONDON,E12HP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
31877,A1 DRY CLEANERS LIMITED,"112 PRINCESS GARDENS, ",LONDON,W30LJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
32192,A2B CLEANING SERVICES LTD.,"20-22 WENLOCK ROAD, ",LONDON,N17GU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
32298,A2Z DRY CLEANERS LTD,"1044 UXBRIDGE ROAD, ",HAYES,UB40RJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
32711,AA NOBLE HOUSE LIMITED,"5 KENWAY ROAD, ",LONDON,SW50RP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
32835,AAA (2014) LIMITED,"196 WEST END LANE, ",LONDON,NW61SG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
32861,AAA CLEANERS LIMITED,"29 PENBURY ROAD, ",SOUTHALL,UB25RX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
32862,AAA CLEANING LIMITED,"196 WEST END LANE, ",LONDON,NW61SG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
32999,AAAN LIMITED,"57 WARWICK WAY, LONDON",LONDON,SW1V1QR,Active,96010 - Washing and (dry-)cleaning of textile and fur products
33930,AAYAN DRY CLEANERS LTD,"69 GRAYS INN ROAD, ",LONDON,WC1X8TP,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
34738,ABBEVILLE LAUNDERETTE LIMITED,"61 ABBEVILLE ROAD, ",LONDON,SW49JW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
34959,ABBEY STREET LAUNDRY COMPANY LIMITED,"113 ABBEY STREET, LONDON",LONDON,SE13NP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
35503,ABC PVT LTD,"FLAT 24 TITIAN HEIGHT, 12 SCARLET CLOSE",LONDON,E201FH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
36262,ABI IRONING LTD,"TALBOT HOUSE, 204-226 IMPERIAL DRIVE",HARROW,HA27HH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
37840,ABSOLUTE WASH LIMITED,"5 CHIGWELL ROAD, ",LONDON,E181LR,Active,96010 - Washing and (dry-)cleaning of textile and fur products
38097,ABURAMI LIMITED,"28 ROSSLYN HILL, HAMPSTEAD",LONDON,NW31NH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
38294,AC IRONING SERVICES LIMITED,"TALBOT HOUSE, 204-226 IMPERIAL DRIVE",HARROW,HA27HH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
40382,ACE CLEANERS LTD,"73 STATION ROAD, CHINGFORD",LONDON,E47BU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
40420,ACE CSS LIMITED,"85 KINGSLEY ROAD, ",HOUNSLOW,TW34AH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
41263,ACJM SERVICES LIMITED,"STERLING HOUSE, FULBOURNE ROAD",WALTHAMSTOW,E174EE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
43312,ACTONTEX LIMITED,"505 LORDSHIP LANE, DULWICH",LONDON,SE228JY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
