,name,address_1,address_2,post_town,postcode,sic_code_1,sic_code_2,lat,long
470752,HIDDEN TREASURES (THE COURTYARD) LIMITED,43 ESSEX STREET,,LONDON,WC2R3JF,56102 - Unlicensed restaurants and cafes,,51.51287,-0.112886
87445,APPLEBERRY FOODS LIMITED,TEMPLE BAR,TEMPLE UNDERGROUND STATION,LONDON,WC2R2PH,56102 - Unlicensed restaurants and cafes,,51.511031,-0.113712
121223,BAKERS + BARISTAS UK LIMITED,200 STRAND,,LONDON,WC2R1DJ,56102 - Unlicensed restaurants and cafes,,51.512906,-0.113432
129505,BBCM GROUP LIMITED,200 STRAND,,LONDON,WC2R1DJ,56102 - Unlicensed restaurants and cafes,,51.512906,-0.113432
129519,BBD2 LIMITED,200 STRAND,,LONDON,WC2R1DJ,56102 - Unlicensed restaurants and cafes,,51.512906,-0.113432
313224,DUMPY & CO LTD,25 VICTORIA EMBANKMENT GARDENS,,LONDON,WC2N6PB,56102 - Unlicensed restaurants and cafes,,51.508383,-0.121188
457241,HARRIS AND HOOLE LIMITED,9-15 NEAL STREET,,LONDON,WC2H9QL,56102 - Unlicensed restaurants and cafes,,51.513484,-0.124682
715858,NERO HOLDINGS LIMITED,9-15 NEAL STREET,,LONDON,WC2H9QL,56102 - Unlicensed restaurants and cafes,,51.513484,-0.124682
160134,BOKI LTD,20 EARLHAM STREET,,LONDON,WC2H9LG,56102 - Unlicensed restaurants and cafes,,51.513558,-0.127605
80822,ANGIES RIVERSIDE CAFE LTD,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
121213,BAKEREVA LIMITED,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
165404,BR1MY LIMITED,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
187400,CACTUS COFFEE LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
187603,CADERO CAFE LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
188263,CAFEPHILIA MOSELEY LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
216334,CHELSEA CATERING SERVICE LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
218361,CHICKEN SITE LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
249313,COOPER AND HILL LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
254130,COURTYARD CORPORATION UK LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
256093,CRAMLINGTON KITCHEN LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
308455,DRAGON CAT LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
308617,DRAGONFLIES CHILDCARE LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,88910 - Child day-care activities,51.514897,-0.123615
313882,DURAN FOODS UK LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
344594,EPIK CAFÉ LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
397259,FTG INVEST LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
431822,GOURMET GRUB COMPANY LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
