,name,address_1,address_2,post_town,postcode,sic_code_1,lat,long,borough
0,HIDDEN TREASURES (THE COURTYARD) LIMITED,43 ESSEX STREET,,LONDON,WC2R3JF,56102 - Unlicensed restaurants and cafes,51.51287,-0.11288599999999999,Westminster
1,APPLEBERRY FOODS LIMITED,TEMPLE BAR,TEMPLE UNDERGROUND STATION,LONDON,WC2R2PH,56102 - Unlicensed restaurants and cafes,51.511031,-0.113712,Westminster
2,BAKERS + BARISTAS UK LIMITED,200 STRAND,,LONDON,WC2R1DJ,56102 - Unlicensed restaurants and cafes,51.512906,-0.11343199999999999,Westminster
3,BBCM GROUP LIMITED,200 STRAND,,LONDON,WC2R1DJ,56102 - Unlicensed restaurants and cafes,51.512906,-0.11343199999999999,Westminster
4,BBD2 LIMITED,200 STRAND,,LONDON,WC2R1DJ,56102 - Unlicensed restaurants and cafes,51.512906,-0.11343199999999999,Westminster
5,DUMPY & CO LTD,25 VICTORIA EMBANKMENT GARDENS,,LONDON,WC2N6PB,56102 - Unlicensed restaurants and cafes,51.508383,-0.121188,Westminster
6,HARRIS AND HOOLE LIMITED,9-15 NEAL STREET,,LONDON,WC2H9QL,56102 - Unlicensed restaurants and cafes,51.513484000000005,-0.12468199999999999,Westminster
7,NERO HOLDINGS LIMITED,9-15 NEAL STREET,,LONDON,WC2H9QL,56102 - Unlicensed restaurants and cafes,51.513484000000005,-0.12468199999999999,Westminster
8,BOKI LTD,20 EARLHAM STREET,,LONDON,WC2H9LG,56102 - Unlicensed restaurants and cafes,51.513558,-0.127605,Camden
9,ANGIES RIVERSIDE CAFE LTD,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
10,BAKEREVA LIMITED,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
11,BR1MY LIMITED,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
12,CACTUS COFFEE LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
13,CADERO CAFE LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
14,CAFEPHILIA MOSELEY LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
15,CHELSEA CATERING SERVICE LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
16,CHICKEN SITE LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
17,COOPER AND HILL LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
18,COURTYARD CORPORATION UK LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
19,CRAMLINGTON KITCHEN LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
20,DRAGON CAT LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
