Postcode,Borough,Neighbourhood
M5P,Central Toronto,Forest Hill North
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
M5B,Downtown Toronto,Ryerson
M1H,Scarborough,Cedarbrae
M1M,Scarborough,"Cliffcrest, Cliffside"
M1X,Scarborough,Upper Rouge
M4Y,Downtown Toronto,Church and Wellesley
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
M6B,North York,Glencairn
M3J,North York,"Northwood Park, York University"
M6M,York,"Keelesdale, Mount Dennis, Silverthorn"
M6S,West Toronto,"Runnymede, Swansea"
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
M9L,North York,Humber Summit
M5L,Downtown Toronto,Commerce Court
M5C,Downtown Toronto,St. James Town
M6J,West Toronto,"Little Portugal, Trinity"
M5A,Downtown Toronto,"Harbourfront, Regent Park"
M1B,Scarborough,"Rouge, Malvern"
M8X,Etobicoke,The Kingsway
M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
M1N,Scarborough,Birch Cliff
M4B,East York,"Woodbine Gardens, Parkview Hill"
M8Y,Etobicoke,"Humber Bay, King's Mill Park, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
M9M,North York,"Emery, Humberlea"
M5X,Downtown Toronto,"First Canadian Place, Underground city"
M1G,Scarborough,Woburn
M4L,East Toronto,India Bazaar
M6L,North York,Maple Leaf Park
M9A,Etobicoke,Islington Avenue
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor"
M2M,North York,"Newtonbrook, Willowdale"
M1S,Scarborough,Agincourt
M1J,Scarborough,Scarborough Village
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
M4N,Central Toronto,Lawrence Park
M3L,North York,Downsview West
M9W,Etobicoke,Northwest
M5J,Downtown Toronto,"Toronto Islands, Union Station"
M8W,Etobicoke,"Alderwood, Long Branch"
M5R,Central Toronto,"The Annex, Yorkville"
M4X,Downtown Toronto,"Cabbagetown, St. James Town"
M9C,Etobicoke,Markland Wood
M2R,North York,Willowdale West
M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
M6A,North York,"Lawrence Heights, Lawrence Manor"
M9R,Etobicoke,Kingsview Village
M3C,North York,Flemingdon Park
M4J,East York,East Toronto
M4H,East York,Thorncliffe Park
M2K,North York,Bayview Village
M1V,Scarborough,"Agincourt North, Milliken"
M5S,Downtown Toronto,University of Toronto
M4A,North York,Victoria Village
M4E,East Toronto,The Beaches
M2H,North York,Hillcrest Village
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
M1E,Scarborough,"Morningside, West Hill"
M4C,East York,Woodbine Heights
M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
M8V,Etobicoke,New Toronto
M4T,Central Toronto,Moore Park
M4G,East York,Leaside
M1R,Scarborough,"Maryvale, Wexford"
M3K,North York,CFB Toronto
M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
M9N,York,Weston
M5M,North York,Bedford Park
M9P,Etobicoke,Westmount
M5E,Downtown Toronto,Berczy Park
M6R,West Toronto,"Parkdale, Roncesvalles"
M3A,North York,Parkwoods
M4K,East Toronto,Riverdale
M1K,Scarborough,"Ionview, Kennedy Park"
M6K,West Toronto,"Exhibition Place, Parkdale Village"
M1T,Scarborough,Tam O'Shanter
M5H,Downtown Toronto,"Adelaide, King"
M4W,Downtown Toronto,Rosedale
M6H,West Toronto,Dovercourt Village
M3H,North York,"Bathurst Manor, Wilson Heights"
M2J,North York,Henry Farm
M1W,Scarborough,Steeles West
M2L,North York,"Silver Hills, York Mills"
M6P,West Toronto,High Park
